account_id,population_type
A000509,normal
A000510,normal
A000511,normal
A000512,normal
A000513,hard_negative
A000514,hard_negative
A000515,hard_negative
A000516,normal
A000517,normal
A000518,normal
A000519,normal
A000520,ring
A000521,normal
A000522,normal
A000523,normal
A000524,normal
A000525,ring
A000526,normal
A000527,hard_negative
A000528,hard_negative
A000529,normal
A000530,normal
A000531,normal
A000532,normal
A000533,normal
A000534,normal
A000535,normal
A000536,normal
A000537,hard_negative
A000538,normal
A000539,normal
A000540,normal
A000541,normal
A000542,normal
A000543,normal
A000544,normal
A000545,ring
A000546,normal
A000547,hard_negative
A000548,ring
A000549,hard_negative
A000550,hard_negative
A000551,normal
A000552,ring
A000553,normal
A000554,ring
A000555,normal
A000556,normal
A000557,ring
A000558,normal
A000559,normal
A000560,normal
A000561,hard_negative
A000562,normal
A000563,normal
A000564,normal
A000565,normal
A000566,normal
A000567,normal
A000568,normal
A000569,normal
A000570,hard_negative
A000571,normal
A000572,hard_negative
A000573,normal
A000574,normal
A000575,normal
A000576,normal
A000577,normal
A000578,hard_negative
A000579,hard_negative
A000580,normal
A000581,normal
A000582,normal
A000583,normal
A000584,hard_negative
A000585,normal
A000586,normal
A000587,normal
A000588,normal
A000589,normal
A000590,normal
A000591,hard_negative
A000592,normal
A000593,hard_negative
A000594,normal
A000595,normal
A000596,normal
A000597,normal
A000598,normal
A000599,normal
A000600,normal
A000601,normal
A000602,normal
A000603,normal
A000604,hard_negative
A000605,normal
A000606,normal
A000607,normal
A000608,normal
A000609,hard_negative
A000610,normal
A000611,normal
A000612,normal
A000613,normal
A000614,normal
A000615,normal
A000616,normal
A000617,normal
A000618,normal
A000619,hard_negative
A000620,normal
A000621,normal
A000622,normal
A000623,hard_negative
A000624,hard_negative
A000625,ring
A000626,hard_negative
A000627,normal
A000628,normal
A000629,normal
A000630,normal
A000631,normal
A000632,normal
A000633,hard_negative
A000634,normal
A000635,ring
A000636,ring
A000637,normal
A000638,normal
A000639,normal
A000640,ring
A000641,hard_negative
A000642,normal
A000643,ring
A000644,normal
A000645,normal
A000646,ring
A000647,normal
A000648,normal
A000649,normal
A000650,normal
A000651,normal
A000652,hard_negative
A000653,normal
A000654,normal
A000655,normal
A000656,normal
A000657,normal
A000658,normal
A000659,normal
A000660,normal
A000661,normal
A000662,ring
A000663,normal
A000664,normal
A000665,normal
A000666,normal
A000667,hard_negative
A000668,normal
A000669,normal
A000670,normal
A000671,normal
A000672,normal
A000673,normal
A000674,normal
A000675,normal
A000676,normal
A000677,hard_negative
A000678,normal
A000679,normal
A000680,normal
A000681,normal
A000682,normal
A000683,normal
A000684,hard_negative
A000685,normal
A000686,normal
A000687,normal
A000688,normal
A000689,normal
A000690,ring
A000691,hard_negative
A000692,normal
A000693,normal
A000694,normal
A000695,normal
A000696,normal
A000697,normal
A000698,normal
A000699,normal
A000700,ring
A000701,normal
A000702,normal
A000703,normal
A000704,normal
A000705,hard_negative
A000706,normal
A000707,normal
A000708,normal
A000709,normal
A000710,hard_negative
A000711,hard_negative
A000712,normal
A000713,normal
A000714,hard_negative
A000715,normal
A000716,normal
A000717,normal
A000718,normal
A000719,hard_negative
A000720,normal
A000721,normal
A000722,normal
A000723,normal
A000724,normal
A000725,normal
A000726,normal
A000727,normal
A000728,normal
A000729,normal
A000730,normal
A000731,normal
A000732,normal
A000733,hard_negative
A000734,normal
A000735,normal
A000736,normal
A000737,hard_negative
A000738,hard_negative
A000739,normal
A000740,normal
A000741,normal
A000742,normal
A000743,normal
A000744,normal
A000745,hard_negative
A000746,normal
A000747,hard_negative
A000748,normal
A000749,normal
A000750,hard_negative
A000751,normal
A000752,normal
A000753,normal
A000754,normal
A000755,normal
A000756,hard_negative
A000757,normal
A000758,normal
A000759,hard_negative
A000760,hard_negative
A000761,hard_negative
A000762,ring
A000763,normal
A000764,normal
A000765,normal
A000766,normal
A000767,normal
A000768,normal
A000769,normal
A000770,normal
A000771,normal
A000772,hard_negative
A000773,normal
A000774,normal
A000775,normal
A000776,normal
A000777,normal
A000778,normal
A000779,normal
A000780,normal
A000781,normal
A000782,normal
A000783,normal
A000784,normal
A000785,normal
A000786,normal
A000787,normal
A000788,normal
A000789,normal
A000790,hard_negative
A000791,normal
A000792,normal
A000793,normal
A000794,normal
A000795,ring
A000796,normal
A000797,normal
A000798,normal
A000799,normal
A000800,normal
A000801,ring
A000802,hard_negative
A000803,normal
A000804,normal
A000805,normal
A000806,normal
A000807,normal
A000808,hard_negative
A000809,normal
A000810,normal
A000811,normal
A000812,normal
A000813,ring
A000814,ring
A000815,normal
A000816,normal
A000817,normal
A000818,normal
A000819,normal
A000820,normal
A000821,normal
A000822,normal
A000823,normal
A000824,normal
A000825,hard_negative
A000826,hard_negative
A000827,hard_negative
A000828,normal
A000829,normal
A000830,normal
A000831,normal
A000832,normal
A000833,normal
A000834,normal
A000835,normal
A000836,ring
A000837,normal
A000838,normal
A000839,normal
A000840,normal
A000841,hard_negative
A000842,normal
A000843,normal
A000844,normal
A000845,normal
A000846,normal
A000847,normal
A000848,normal
A000849,normal
A000850,normal
A000851,normal
A000852,normal
A000853,normal
A000854,normal
A000855,normal
A000856,normal
A000857,normal
A000858,hard_negative
A000859,normal
A000860,normal
A000861,normal
A000862,normal
A000863,normal
A000864,normal
A000865,normal
A000866,normal
A000867,normal
A000868,normal
A000869,hard_negative
A000870,normal
A000871,ring
A000872,normal
A000873,normal
A000874,normal
A000875,hard_negative
A000876,normal
A000877,normal
A000878,normal
A000879,normal
A000880,normal
A000881,normal
A000882,normal
A000883,normal
A000884,normal
A000885,normal
A000886,normal
A000887,ring
A000888,normal
A000889,normal
A000890,hard_negative
A000891,hard_negative
A000892,normal
A000893,normal
A000894,normal
A000895,normal
A000896,hard_negative
A000897,normal
A000898,hard_negative
A000899,ring
A000900,normal
A000901,normal
A000902,normal
A000903,normal
A000904,normal
A000905,normal
A000906,normal
A000907,normal
A000908,normal
A000909,normal
A000910,normal
A000911,normal
A000912,hard_negative
A000913,normal
A000914,normal
A000915,ring
A000916,normal
A000917,hard_negative
A000918,normal
A000919,normal
A000920,normal
A000921,normal
A000922,normal
A000923,normal
A000924,hard_negative
A000925,hard_negative
A000926,ring
A000927,normal
A000928,hard_negative
A000929,normal
A000930,normal
A000931,hard_negative
A000932,normal
A000933,normal
A000934,normal
A000935,normal
A000936,ring
A000937,hard_negative
A000938,normal
A000939,normal
A000940,ring
A000941,normal
A000942,hard_negative
A000943,normal
A000944,normal
A000945,hard_negative
A000946,normal
A000947,normal
A000948,normal
A000949,normal
A000950,normal
A000951,normal
A000952,hard_negative
A000953,normal
A000954,normal
A000955,normal
A000956,normal
A000957,normal
A000958,normal
A000959,normal
A000960,normal
A000961,normal
A000962,ring
A000963,normal
A000964,normal
A000965,normal
A000966,normal
A000967,normal
A000968,ring
A000969,normal
A000970,normal
A000971,hard_negative
A000972,hard_negative
A000973,normal
A000974,normal
A000975,normal
A000976,normal
A000977,ring
A000978,normal
A000979,normal
A000980,ring
A000981,normal
A000982,normal
A000983,normal
A000984,normal
A000985,normal
A000986,normal
A000987,hard_negative
A000988,normal
A000989,normal
A000990,normal
A000991,normal
A000992,normal
A000993,normal
A000994,normal
A000995,normal
A000996,hard_negative
A000997,hard_negative
A000998,normal
A000999,normal
A001000,normal
A001001,hard_negative
A001002,normal
A001003,normal
A001004,normal
A001005,normal
A001006,hard_negative
A001007,hard_negative
A001008,normal
A001009,normal
A001010,normal
A001011,normal
A001012,normal
A001013,normal
A001014,normal
A001015,hard_negative
A001016,normal
A001017,normal
A001018,normal
A001019,normal
A001020,normal
A001021,normal
A001022,normal
A001023,normal
A001024,normal
A001025,ring
A001026,normal
A001027,normal
A001028,normal
A001029,normal
A001030,ring
A001031,normal
A001032,hard_negative
A001033,normal
A001034,normal
A001035,normal
A001036,normal
A001037,hard_negative
A001038,normal
A001039,normal
A001040,normal
A001041,normal
A001042,normal
A001043,ring
A001044,normal
A001045,ring
A001046,normal
A001047,normal
A001048,normal
A001049,normal
A001050,normal
A001051,normal
A001052,normal
A001053,hard_negative
A001054,normal
A001055,normal
A001056,normal
A001057,normal
A001058,hard_negative
A001059,normal
A001060,normal
A001061,normal
A001062,normal
A001063,normal
A001064,normal
A001065,normal
A001066,normal
A001067,normal
A001068,hard_negative
A001069,normal
A001070,normal
A001071,normal
A001072,normal
A001073,normal
A001074,normal
A001075,hard_negative
A001076,hard_negative
A001077,hard_negative
A001078,normal
A001079,normal
A001080,normal
A001081,hard_negative
A001082,normal
A001083,normal
A001084,normal
A001085,normal
A001086,normal
A001087,hard_negative
A001088,normal
A001089,hard_negative
A001090,normal
A001091,normal
A001092,normal
A001093,normal
A001094,normal
A001095,normal
A001096,normal
A001097,normal
A001098,normal
A001099,normal
A001100,normal
A001101,normal
A001102,normal
A001103,normal
A001104,normal
A001105,normal
A001106,normal
A001107,normal
A001108,hard_negative
A001109,normal
A001110,normal
A001111,normal
A001112,normal
A001113,normal
A001114,hard_negative
A001115,normal
A001116,normal
A001117,normal
A001118,normal
A001119,normal
A001120,normal
A001121,normal
A001122,hard_negative
A001123,normal
A001124,hard_negative
A001125,normal
A001126,normal
A001127,normal
A001128,normal
A001129,normal
A001130,normal
A001131,normal
A001132,normal
A001133,normal
A001134,normal
A001135,normal
A001136,normal
A001137,normal
A001138,hard_negative
A001139,normal
A001140,normal
A001141,normal
A001142,normal
A001143,normal
A001144,hard_negative
A001145,normal
A001146,normal
A001147,normal
A001148,normal
A001149,normal
A001150,normal
A001151,hard_negative
A001152,normal
A001153,normal
A001154,normal
A001155,normal
A001156,hard_negative
A001157,hard_negative
A001158,hard_negative
A001159,normal
A001160,normal
A001161,normal
A001162,normal
A001163,ring
A001164,normal
A001165,normal
A001166,normal
A001167,normal
A001168,normal
A001169,hard_negative
A001170,normal
A001171,normal
A001172,hard_negative
A001173,hard_negative
A001174,normal
A001175,normal
A001176,hard_negative
A001177,normal
A001178,normal
A001179,normal
A001180,hard_negative
A001181,normal
A001182,normal
A001183,normal
A001184,normal
A001185,hard_negative
A001186,hard_negative
A001187,normal
A001188,normal
A001189,normal
A001190,normal
A001191,normal
A001192,hard_negative
A001193,normal
A001194,normal
A001195,normal
A001196,normal
A001197,hard_negative
A001198,normal
A001199,ring
A001200,hard_negative
A001201,hard_negative
A001202,normal
A001203,normal
A001204,normal
A001205,normal
A001206,normal
A001207,hard_negative
A001208,ring
A001209,hard_negative
A001210,normal
A001211,normal
A001212,normal
A001213,normal
A001214,normal
A001215,hard_negative
A001216,normal
A001217,normal
A001218,normal
A001219,normal
A001220,normal
A001221,hard_negative
A001222,normal
A001223,hard_negative
A001224,normal
A001225,normal
A001226,normal
A001227,normal
A001228,normal
A001229,normal
A001230,normal
A001231,hard_negative
A001232,normal
A001233,normal
A001234,normal
A001235,normal
A001236,normal
A001237,normal
A001238,normal
A001239,normal
A001240,normal
A001241,normal
A001242,normal
A001243,normal
A001244,normal
A001245,normal
A001246,normal
A001247,hard_negative
A001248,hard_negative
A001249,normal
A001250,normal
A001251,normal
A001252,normal
A001253,normal
A001254,normal
A001255,normal
A001256,normal
A001257,normal
A001258,hard_negative
A001259,normal
A001260,hard_negative
A001261,hard_negative
A001262,ring
A001263,normal
A001264,normal
A001265,hard_negative
A001266,hard_negative
A001267,normal
A001268,normal
A001269,normal
A001270,hard_negative
A001271,normal
A001272,normal
A001273,ring
A001274,hard_negative
A001275,hard_negative
A001276,normal
A001277,normal
A001278,normal
A001279,normal
A001280,normal
A001281,normal
A001282,normal
A001283,normal
A001284,normal
A001285,normal
A001286,normal
A001287,normal
A001288,normal
A001289,normal
A001290,normal
A001291,normal
A001292,normal
A001293,normal
A001294,normal
A001295,normal
A001296,normal
A001297,hard_negative
A001298,hard_negative
A001299,normal
A001300,normal
A001301,normal
A001302,normal
A001303,normal
A001304,normal
A001305,normal
A001306,normal
A001307,hard_negative
A001308,normal
A001309,normal
A001310,normal
A001311,ring
A001312,normal
A001313,hard_negative
A001314,normal
A001315,normal
A001316,normal
A001317,normal
A001318,normal
A001319,normal
A001320,hard_negative
A001321,normal
A001322,normal
A001323,normal
A001324,hard_negative
A001325,normal
A001326,normal
A001327,normal
A001328,normal
A001329,normal
A001330,normal
A001331,hard_negative
A001332,ring
A001333,hard_negative
A001334,normal
A001335,hard_negative
A001336,normal
A001337,normal
A001338,ring
A001339,normal
A001340,normal
A001341,normal
A001342,normal
A001343,ring
A001344,normal
A001345,normal
A001346,normal
A001347,normal
A001348,hard_negative
A001349,normal
A001350,hard_negative
A001351,hard_negative
A001352,normal
A001353,normal
A001354,normal
A001355,normal
A001356,ring
A001357,normal
A001358,normal
A001359,normal
A001360,hard_negative
A001361,normal
A001362,normal
A001363,normal
A001364,normal
A001365,normal
A001366,normal
A001367,normal
A001368,normal
A001369,normal
A001370,normal
A001371,normal
A001372,normal
A001373,normal
A001374,normal
A001375,normal
A001376,hard_negative
A001377,normal
A001378,hard_negative
A001379,normal
A001380,normal
A001381,normal
A001382,hard_negative
A001383,normal
A001384,normal
A001385,normal
A001386,normal
A001387,normal
A001388,normal
A001389,normal
A001390,normal
A001391,normal
A001392,normal
A001393,hard_negative
A001394,normal
A001395,normal
A001396,normal
A001397,ring
A001398,normal
A001399,normal
A001400,normal
A001401,normal
A001402,normal
A001403,hard_negative
A001404,normal
A001405,hard_negative
A001406,normal
A001407,normal
A001408,normal
A001409,normal
A001410,hard_negative
A001411,normal
A001412,ring
A001413,normal
A001414,normal
A001415,normal
A001416,hard_negative
A001417,normal
A001418,normal
A001419,normal
A001420,normal
A001421,normal
A001422,ring
A001423,normal
A001424,normal
A001425,normal
A001426,normal
A001427,normal
A001428,normal
A001429,normal
A001430,normal
A001431,normal
A001432,normal
A001433,normal
A001434,normal
A001435,normal
A001436,normal
A001437,ring
A001438,normal
A001439,normal
A001440,normal
A001441,normal
A001442,normal
A001443,hard_negative
A001444,normal
A001445,normal
A001446,normal
A001447,hard_negative
A001448,normal
A001449,normal
A001450,normal
A001451,hard_negative
A001452,normal
A001453,normal
A001454,normal
A001455,normal
A001456,normal
A001457,normal
A001458,normal
A001459,normal
A001460,normal
A001461,normal
A001462,normal
A001463,normal
A001464,normal
A001465,normal
A001466,normal
A001467,normal
A001468,normal
A001469,normal
A001470,normal
A001471,hard_negative
A001472,normal
A001473,normal
A001474,normal
A001475,normal
A001476,normal
A001477,normal
A001478,normal
A001479,normal
A001480,normal
A001481,hard_negative
A001482,normal
A001483,normal
A001484,normal
A001485,normal
A001486,normal
A001487,normal
A001488,normal
A001489,normal
A001490,normal
A001491,normal
A001492,normal
A001493,normal
A001494,normal
A001495,normal
A001496,normal
A001497,normal
A001498,hard_negative
A001499,normal
A001500,normal
A001501,normal
A001502,hard_negative
A001503,normal
A001504,normal
A001505,normal
A001506,normal
A001507,normal
A001508,normal
A001509,hard_negative
A001510,normal
A001511,normal
A001512,normal
A001513,normal
A001514,normal
A001515,normal
A001516,normal
A001517,normal
A001518,normal
A001519,normal
A001520,normal
A001521,normal
A001522,hard_negative
A001523,hard_negative
A001524,normal
A001525,normal
A001526,normal
A001527,normal
A001528,normal
A001529,normal
A001530,hard_negative
A001531,normal
A001532,normal
A001533,normal
A001534,normal
A001535,normal
A001536,normal
A001537,normal
A001538,normal
A001539,normal
A001540,hard_negative
A001541,normal
A001542,normal
A001543,hard_negative
A001544,normal
A001545,normal
A001546,hard_negative
A001547,normal
A001548,normal
A001549,normal
A001550,normal
A001551,hard_negative
A001552,normal
A001553,normal
A001554,normal
A001555,normal
A001556,hard_negative
A001557,normal
A001558,normal
A001559,hard_negative
A001560,normal
A001561,ring
A001562,normal
A001563,hard_negative
A001564,normal
A001565,normal
A001566,hard_negative
A001567,normal
A001568,hard_negative
A001569,normal
A001570,normal
A001571,hard_negative
A001572,normal
A001573,normal
A001574,normal
A001575,normal
A001576,normal
A001577,normal
A001578,normal
A001579,normal
A001580,normal
A001581,normal
A001582,ring
A001583,normal
A001584,normal
A001585,normal
A001586,normal
A001587,normal
A001588,normal
A001589,normal
A001590,hard_negative
A001591,normal
A001592,normal
A001593,ring
A001594,normal
A001595,hard_negative
A001596,hard_negative
A001597,normal
A001598,hard_negative
A001599,normal
A001600,normal
A001601,normal
A001602,hard_negative
A001603,normal
A001604,normal
A001605,normal
A001606,normal
A001607,normal
A001608,normal
A001609,normal
A001610,normal
A001611,hard_negative
A001612,normal
A001613,normal
A001614,hard_negative
A001615,normal
A001616,normal
A001617,normal
A001618,hard_negative
A001619,normal
A001620,hard_negative
A001621,normal
A001622,hard_negative
A001623,normal
A001624,normal
A001625,normal
A001626,normal
A001627,normal
A001628,normal
A001629,normal
A001630,normal
A001631,hard_negative
A001632,hard_negative
A001633,normal
A001634,hard_negative
A001635,normal
A001636,hard_negative
A001637,normal
A001638,normal
A001639,hard_negative
A001640,normal
A001641,normal
A001642,normal
A001643,normal
A001644,normal
A001645,normal
A001646,ring
A001647,normal
A001648,normal
A001649,normal
A001650,normal
A001651,normal
A001652,hard_negative
A001653,normal
A001654,normal
A001655,normal
A001656,normal
A001657,normal
A001658,normal
A001659,hard_negative
A001660,normal
A001661,ring
A001662,normal
A001663,normal
A001664,normal
A001665,hard_negative
A001666,normal
A001667,normal
A001668,hard_negative
A001669,normal
A001670,normal
A001671,normal
A001672,normal
A001673,normal
A001674,normal
A001675,normal
A001676,normal
A001677,hard_negative
A001678,hard_negative
A001679,normal
A001680,normal
A001681,normal
A001682,normal
A001683,normal
A001684,normal
A001685,hard_negative
A001686,normal
A001687,normal
A001688,normal
A001689,hard_negative
A001690,normal
A001691,normal
A001692,normal
A001693,hard_negative
A001694,hard_negative
A001695,ring
A001696,normal
A001697,normal
A001698,normal
A001699,normal
A001700,hard_negative
A001701,normal
A001702,normal
A001703,normal
A001704,ring
A001705,normal
A001706,hard_negative
A001707,normal
A001708,hard_negative
A001709,normal
A001710,normal
A001711,normal
A001712,normal
A001713,normal
A001714,normal
A001715,hard_negative
A001716,normal
A001717,normal
A001718,normal
A001719,hard_negative
A001720,normal
A001721,normal
A001722,normal
A001723,normal
A001724,normal
A001725,normal
A001726,normal
A001727,normal
A001728,normal
A001729,normal
A001730,hard_negative
A001731,normal
A001732,normal
A001733,normal
A001734,normal
A001735,normal
A001736,normal
A001737,normal
A001738,hard_negative
A001739,normal
A001740,normal
A001741,hard_negative
A001742,normal
A001743,normal
A001744,hard_negative
A001745,hard_negative
A001746,normal
A001747,normal
A001748,normal
A001749,normal
A001750,hard_negative
A001751,normal
A001752,normal
A001753,normal
A001754,normal
A001755,normal
A001756,normal
A001757,normal
A001758,normal
A001759,normal
A001760,normal
A001761,normal
A001762,normal
A001763,ring
A001764,hard_negative
A001765,normal
A001766,normal
A001767,normal
A001768,hard_negative
A001769,normal
A001770,normal
A001771,ring
A001772,normal
A001773,normal
A001774,normal
A001775,ring
A001776,normal
A001777,normal
A001778,hard_negative
A001779,normal
A001780,normal
A001781,normal
A001782,normal
A001783,hard_negative
A001784,normal
A001785,normal
A001786,hard_negative
A001787,normal
A001788,normal
A001789,normal
A001790,normal
A001791,hard_negative
A001792,ring
A001793,hard_negative
A001794,normal
A001795,normal
A001796,normal
A001797,ring
A001798,ring
A001799,normal
A001800,normal
A001801,hard_negative
A001802,normal
A001803,normal
A001804,normal
A001805,normal
A001806,normal
A001807,normal
A001808,hard_negative
A001809,normal
A001810,hard_negative
A001811,ring
A001812,normal
A001813,normal
A001814,normal
A001815,normal
A001816,normal
A001817,normal
A001818,normal
A001819,normal
A001820,normal
A001821,hard_negative
A001822,normal
A001823,normal
A001824,normal
A001825,normal
A001826,ring
A001827,hard_negative
A001828,hard_negative
A001829,normal
A001830,normal
A001831,normal
A001832,normal
A001833,normal
A001834,normal
A001835,normal
A001836,normal
A001837,normal
A001838,normal
A001839,normal
A001840,normal
A001841,normal
A001842,normal
A001843,normal
A001844,normal
A001845,hard_negative
A001846,hard_negative
A001847,hard_negative
A001848,ring
A001849,normal
A001850,normal
A001851,normal
A001852,normal
A001853,normal
A001854,normal
A001855,hard_negative
A001856,normal
A001857,normal
A001858,hard_negative
A001859,normal
A001860,hard_negative
A001861,normal
A001862,normal
A001863,normal
A001864,normal
A001865,normal
A001866,ring
A001867,normal
