account_id,total_orders,total_amount,avg_order_value,distinct_devices,distinct_addresses,distinct_phones,distinct_payment_instruments,total_delivered_orders,total_pending_orders,coupon_usage_rate,discount_dependency_score,distinct_coupon_count,max_discount_ratio,rare_coupon_count,total_returns,avg_return_lag_hours,total_refunds,total_refund_amount,total_disputes,total_failed_orders,return_rate,refund_rate,dispute_rate,account_age_days,orders_last_24h,orders_last_7d,orders_last_30d,refunds_last_24h,refunds_last_7d,refunds_last_30d,return_rate_last_30d,account_lifetime_days,avg_order_gap_days,recent_activity_ratio,evening_order_ratio,transaction_burst_score,refund_burst_score,account_creation_burst_score,accounts_per_device,shared_device_count,accounts_per_address,shared_address_count,accounts_per_phone,shared_phone_count,accounts_per_instrument,shared_instrument_count,has_shared_device_and_address,has_shared_payment_and_phone,shared_entity_types_count,shared_ip_prefix_count,degree_centrality,eigenvector_centrality,pagerank,triangle_count,clustering_coefficient,connected_component_size,shared_edge_count,shared_edge_weight_sum,edge_shares_device,edge_shares_payment,edge_shares_phone,edge_shares_address,edge_shares_ip,edge_shares_coupon,community_id,community_size,community_return_rate,community_refund_rate,community_avg_order_value,community_total_orders,community_avg_dispute_rate,community_max_return_rate,community_avg_coupon_usage,neighbor_avg_return_rate,looks_bargain,looks_office
A000010,6.0,19770.0,3295.0,1.0,1.0,1.0,1.0,6.0,0.0,0.5,0.0454834504243864,3.0,0.131462829736211,3.0,2.0,48.0,2.0,10210.0,0.0,0,0.3333333333333333,0.3333333333333333,0.0,40.227777777777774,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.197304139578334,1.83946082791566,0.0,0.1666666666666666,0.0,0.0,61.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0003333444448148272,5.922978253841098e-05,4.433486065190682e-05,6,0.044444444444444446,23658,10,4.4,2,0,1,0,0,7,56,219,0.1684714068275712,0.1563165905631659,5883.2383851561935,716.0,0.008193810248604768,1.0,0.16910197869101978,0.3013888888888889,0,0
A000011,1.0,3370.0,3370.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.33125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.333444448148272e-05,3.480363377835569e-07,1.3079850361250565e-05,0,0.0,23658,1,0.7,0,0,0,1,0,0,3,373,0.14946380697050937,0.14132042369307785,5926.315696219181,1200.0,0.009874017849889163,1.0,0.1680889709039843,0.4,0,1
A000012,1.0,13960.0,13960.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.53680555555556,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,136.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.00010000333344444814,0.00012143286022017736,2.989450254602062e-05,3,1.0,23658,3,3.0,0,0,3,0,0,0,5,348,0.14439002089864159,0.1368628816904679,5691.054562295942,1021.0,0.014852548473238128,1.0,0.1682376212548626,0.08333333333333333,0,1
A000013,6.0,32560.0,5426.666666666667,1.0,1.0,1.0,1.0,5.0,1.0,0.3333333333333333,0.042600427439212,2.0,0.191376731301939,2.0,1.0,48.0,1.0,5560.0,1.0,0,0.2,0.1666666666666666,0.1666666666666666,36.485416666666666,1.0,1.0,4.0,0.0,0.0,1.0,0.25,35.52516699651404,7.105033399302801,0.1666666666666666,0.1666666666666666,1.0,0.0,128.0,4.0,3.0,6.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.00026667555585186174,6.726420749126281e-07,6.926708832415134e-05,8,0.2233390737586463,23658,8,6.3,3,0,1,3,0,1,48,231,0.14526792351467674,0.13429018071875215,5897.00900158043,681.0,0.0061087061087061086,1.0,0.18228028585171444,0.11805555555555555,0,0
A000014,7.0,18920.0,2702.8571428571427,1.0,1.0,1.0,1.0,6.0,1.0,0.4285714285714285,0.0744387811047809,3.0,0.2313899999999999,3.0,2.0,36.0,2.0,7590.0,0.0,0,0.3333333333333333,0.2857142857142857,0.0,26.633333333333333,1.0,2.0,7.0,0.0,0.0,2.0,0.2857142857142857,22.403024072779733,3.733837345463287,0.2857142857142857,0.2857142857142857,1.0,0.0,86.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.000233341111370379,3.3191303459855093e-06,4.574776417938769e-05,2,0.03086383212646269,23658,7,3.6,1,1,0,1,1,3,11,317,0.15617007423001114,0.1458425993914953,5701.648520949783,930.0,0.01074413669050893,1.0,0.19328161323429463,0.09999999999999999,0,0
A000015,4.0,25570.0,6392.5,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,1.0,14010.0,0.0,0,0.25,0.25,0.0,25.68402777777778,0.0,0.0,4.0,0.0,0.0,1.0,0.25,12.192852105473252,4.064284035157743,0.0,0.25,0.0,0.0,56.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,6.666888896296543e-05,1.5136001901170531e-05,2.0336808147187208e-05,0,0.0,23658,2,1.7,0,0,1,1,0,0,12,317,0.14728225682484355,0.13694226383500832,5755.221624677461,1015.0,0.005633168093735917,1.0,0.1828130246899963,0.1875,0,0
A000016,1.0,2930.0,2930.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.1036245733788396,1.0,0.1036245733788396,1.0,1.0,72.0,1.0,2930.0,0.0,0,1.0,1.0,0.0,16.494444444444444,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,2.0,1.0,1.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.00013333777792593087,2.2356240458726825e-06,3.9539905578767846e-05,0,0.0,23658,4,3.2,1,1,1,0,0,1,59,212,0.1623539982030548,0.1536107367475292,6128.498090745732,652.0,0.0042059748427672955,1.0,0.19663447139862233,0.4464285714285714,0,0
A000017,1.0,6960.0,6960.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,19.304166666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.00010000333344444814,1.0777943709358172e-06,3.791538373384363e-05,0,0.0,23658,3,2.7,1,0,1,1,0,0,91,143,0.1631411323719016,0.14266716189793113,5721.8628316128315,438.0,0.017599067599067597,1.0,0.20095289326058557,0.047619047619047596,0,1
A000018,3.0,6950.0,2316.6666666666665,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,25.33888888888889,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.466339598290521,2.2331697991452546,0.0,0.3333333333333333,0.0,0.0,164.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.333444448148272e-05,8.724175079137674e-06,1.7750227623737534e-05,0,0.0,23658,1,1.0,0,1,0,0,0,0,9,323,0.16151742993848256,0.14506207586702943,5488.161316839335,970.0,0.0058148937405903345,1.0,0.1763815733629975,0.25,0,0
A000019,4.0,19320.0,4830.0,1.0,2.0,1.0,1.0,4.0,0.0,0.25,0.0275431818181818,1.0,0.1101727272727272,1.0,1.0,96.0,1.0,9070.0,0.0,0,0.25,0.25,0.0,41.61597222222223,0.0,0.0,2.0,0.0,0.0,1.0,0.0,24.81278625545156,8.270928751817188,0.0,0.25,0.0,0.0,35.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0001666722224074136,1.1056205892518715e-06,2.7940014155418652e-05,1,0.02,23658,5,2.4,0,0,1,1,1,2,28,263,0.17003687060721281,0.15989896246550236,5999.712953818467,810.0,0.01024503591043515,1.0,0.13847176271130643,0.2533333333333333,0,0
A000020,4.0,35700.0,8925.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,24.281944444444445,0.0,1.0,4.0,0.0,0.0,0.0,0.0,11.32227790317816,3.77409263439272,0.25,0.25,0.0,0.0,158.0,2.0,1.0,2.0,1.0,1.0,0.0,1.5,1.0,0.0,0.0,3.0,1.0,0.00010000333344444814,0.0002430683013216364,2.812517777412507e-05,0,0.0,23658,3,2.7,1,1,0,1,0,0,46,234,0.14093915343915342,0.12639228055894722,5890.839302672636,783.0,0.002136752136752137,1.0,0.1804945054945055,0.2222222222222222,0,1
A000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.310416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421438564405073e-38,6.0531521215317065e-06,0,0.0,1,0,0.0,0,0,0,0,0,0,210,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A000022,10.0,67750.0,6775.0,2.0,2.0,1.0,2.0,10.0,0.0,0.5,0.0811742388807429,5.0,0.2499783333333333,5.0,1.0,72.0,1.0,1170.0,0.0,0,0.1,0.1,0.0,21.2375,0.0,2.0,10.0,0.0,0.0,1.0,0.1,17.025658129743935,1.891739792193761,0.2,0.1,0.0,0.0,105.0,1.0,0.0,3.5,5.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0003666788892963099,2.6133716531583845e-05,6.210968803439864e-05,4,0.047272727272727265,23658,11,5.8,0,2,0,4,0,5,79,178,0.15011856121406683,0.14783590317298181,5820.956312725976,572.0,0.011980762683009873,1.0,0.21552888434910908,0.2458874458874459,1,0
A000023,2.0,11980.0,5990.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,24.261805555555554,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.824116361560023,3.8241163615600233,0.0,0.5,0.0,0.0,133.0,4.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.00013333777792593087,3.7197520749838643e-06,3.740735194701138e-05,1,0.16666666666666666,23658,4,3.7,2,1,0,1,0,0,18,297,0.14261577367637973,0.13195359634753576,5742.651284835628,941.0,0.0015285126396237505,1.0,0.1720638601951733,0.0357142857142857,0,1
A000024,6.0,18430.0,3071.6666666666665,1.0,2.0,1.0,1.0,6.0,0.0,0.3333333333333333,0.0608568215831412,2.0,0.2252059701492537,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,37.28541666666667,0.0,0.0,5.0,0.0,0.0,0.0,0.0,14.2583908269519,2.8516781653903704,0.0,0.3333333333333333,0.0,0.0,104.0,2.0,1.0,6.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0003333444448148272,7.414076564082319e-06,5.358107097223462e-05,12,0.15333333333333335,23658,10,5.8,1,0,0,6,0,3,17,298,0.13850719563806813,0.1276810531005162,5870.189847903774,940.0,0.0053917652072014485,1.0,0.19788464704572087,0.05,0,1
A000025,3.0,14340.0,4780.0,1.0,1.0,1.0,2.0,3.0,0.0,0.3333333333333333,0.0348043699186991,1.0,0.1044131097560975,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,32.59930555555555,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.31892584324728,3.6594629216236334,0.0,0.3333333333333333,0.0,0.0,90.0,2.0,1.0,2.0,1.0,3.0,2.0,1.5,1.0,0.0,0.0,4.0,1.0,0.00013333777792593087,9.193841567339543e-07,3.3259099231942346e-05,0,0.0,23658,4,2.9,1,0,1,1,0,1,15,301,0.14631083202511774,0.14067006268002943,6345.365336859523,954.0,0.014113668723303273,1.0,0.20617440883221616,0.14583333333333331,0,1
A000026,2.0,6940.0,3470.0,1.0,1.0,1.0,1.0,2.0,0.0,0.5,0.0463143776824034,1.0,0.0926287553648068,1.0,2.0,60.0,2.0,6940.0,1.0,0,1.0,1.0,0.5,20.26527777777778,0.0,0.0,2.0,0.0,1.0,2.0,1.0,5.105522876093311,5.105522876093311,0.0,0.0,0.0,0.0,111.0,1.0,0.0,5.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0003666788892963099,9.56109216272744e-05,7.999610751440734e-05,10,0.15615224575110043,23658,11,9.0,0,3,3,4,0,1,71,193,0.14163788140472078,0.12672711571675302,5334.501315897689,604.0,0.0040710584752035525,1.0,0.21034007730898924,0.23376623376623373,0,0
A000027,3.0,8940.0,2980.0,1.0,1.0,1.0,1.0,3.0,0.0,0.3333333333333333,0.0359569209039547,1.0,0.1078707627118644,1.0,1.0,48.0,1.0,4720.0,0.0,0,0.3333333333333333,0.3333333333333333,0.0,42.34513888888889,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.353619027954512,4.676809513977257,0.0,0.0,0.0,0.0,75.0,2.0,1.0,5.0,4.0,3.0,2.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0002000066668888963,3.3052828336813103e-06,5.482617948907062e-05,3,0.13999999999999999,23658,6,4.3,1,1,0,3,0,1,40,240,0.1293656806156806,0.11260991323491323,5982.553040362415,752.0,0.004097222222222223,1.0,0.17274765743515744,0.0,0,0
A000028,9.0,67690.0,7521.111111111111,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,1.0,4870.0,0.0,0,0.1111111111111111,0.1111111111111111,0.0,25.297916666666666,0.0,2.0,9.0,0.0,0.0,1.0,0.1111111111111111,18.811426197846043,2.351428274730752,0.2222222222222222,0.2222222222222222,0.0,0.0,159.0,6.0,5.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.00013333777792593087,1.5665434689124695e-06,3.782300778769878e-05,6,1.0,23658,4,4.0,4,0,0,0,0,0,23,276,0.13337529016876842,0.12443377878160487,5741.014239182718,834.0,0.0036231884057971015,1.0,0.18311832089006,0.0,0,0
A000029,4.0,27130.0,6782.5,1.0,1.0,1.0,1.0,4.0,0.0,0.25,0.0147844638949671,1.0,0.0591378555798687,1.0,1.0,96.0,1.0,2470.0,0.0,0,0.25,0.25,0.0,16.23611111111111,0.0,2.0,4.0,0.0,1.0,1.0,0.25,8.178481201890486,2.726160400630162,0.5,0.5,0.0,0.0,74.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.00010000333344444814,4.0877626609610324e-07,3.394242765546364e-05,1,0.3333333333333333,23658,3,2.2,0,0,2,0,0,1,101,108,0.16226484420928866,0.15439447383891827,5685.688675778953,336.0,0.0007716049382716047,1.0,0.19892710170487948,0.5,0,0
A000030,12.0,73460.0,6121.666666666667,2.0,3.0,1.0,1.0,12.0,0.0,0.4166666666666667,0.0639583065479519,5.0,0.2382594221105527,5.0,1.0,120.0,1.0,2490.0,0.0,0,0.0833333333333333,0.0833333333333333,0.0,44.10694444444445,0.0,0.0,2.0,0.0,0.0,1.0,0.5,17.527403961946227,1.593400360176921,0.0,0.1666666666666666,0.0,0.0,11.0,4.0,6.0,4.333333333333333,10.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0005666855561852062,3.545095522184778e-05,0.00010252477639946471,9,0.03235294117647059,23658,17,9.9,3,0,2,5,0,7,26,271,0.1405523340947695,0.12790104524421866,5982.886544677135,801.0,0.004581795817958179,1.0,0.1642453794667817,0.20644257703081229,1,1
A000031,7.0,34920.0,4988.571428571428,2.0,2.0,1.0,2.0,7.0,0.0,0.1428571428571428,0.0171479140328697,1.0,0.1200353982300885,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.1428571428571428,39.14305555555556,0.0,1.0,4.0,0.0,0.0,0.0,0.0,31.11583529544808,5.185972549241343,0.1428571428571428,0.2857142857142857,0.0,0.0,52.0,3.0,4.0,3.0,4.0,5.0,4.0,2.5,3.0,1.0,0.0,4.0,2.0,0.0005666855561852062,3.251532549332409e-06,0.0001476137747331429,11,0.04476400001281325,23658,17,12.8,4,3,4,1,1,4,66,203,0.11032242251454075,0.10509953921283971,5324.368920214979,604.0,0.0069939912304444315,1.0,0.15157851180018667,0.10504201680672268,0,1
A000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.404166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421438564405073e-38,6.0531521215317065e-06,0,0.0,1,0,0.0,0,0,0,0,0,0,211,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A000033,4.0,25260.0,6315.0,2.0,1.0,1.0,1.0,1.0,3.0,0.25,0.0570888888888888,1.0,0.2283555555555555,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.550694444444445,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.268420012617257,0.4228066708724189,1.0,0.5,1.0,0.0,25.0,4.0,6.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,1.0,0.000233341111370379,8.320615799494994e-06,6.058444271549419e-05,3,0.14285714285714285,23658,7,6.2,4,1,1,0,0,1,61,210,0.15468082182367895,0.146708238851096,5737.998665223666,672.0,0.0047619047619047615,1.0,0.17587679516250945,0.012987012987012986,0,1
A000034,4.0,12580.0,3145.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.0388857142857142,1.0,0.1555428571428571,1.0,1.0,48.0,1.0,3960.0,0.0,0,0.5,0.25,0.0,8.350694444444445,2.0,4.0,4.0,0.0,1.0,1.0,0.25,5.270585055743842,1.7568616852479395,1.0,0.0,2.0,0.0,72.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,6.666888896296543e-05,4.78220161997694e-06,1.6141844337659102e-05,0,0.0,23658,2,1.0,0,0,0,1,1,0,34,248,0.1488127240143369,0.13479102662570405,6169.597078213005,822.0,0.009200588837685611,1.0,0.17985151049667178,0.0,0,0
A000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.40972222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421438564405073e-38,6.0531521215317065e-06,0,0.0,1,0,0.0,0,0,0,0,0,0,212,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
