device_id,os_family,browser_family,ip_prefix,first_seen_at
D000092,iOS,Safari,10.114.180.0/24,2026-01-21 10:01:35
D000093,Android,Chrome,10.43.107.0/24,2026-02-16 23:56:44
D000094,Android,Firefox,10.39.193.0/24,2026-01-15 12:50:05
D000095,Windows,Firefox,10.84.243.0/24,2026-02-10 11:26:48
D000096,Windows,Firefox,10.19.225.0/24,2026-02-15 03:16:29
D000097,Android,Edge,10.55.115.0/24,2026-02-10 15:29:04
D000098,macOS,Safari,10.75.252.0/24,2026-02-03 13:28:07
D000099,Android,Firefox,10.141.72.0/24,2026-02-06 16:33:24
D000100,iOS,Safari,10.159.236.0/24,2026-01-08 23:16:22
D000101,iOS,Chrome,10.172.143.0/24,2026-02-10 06:32:41
D000102,Android,Edge,10.114.13.0/24,2026-01-25 03:11:37
D000103,Android,Edge,10.56.84.0/24,2026-01-27 00:24:11
D000104,Windows,Firefox,10.60.216.0/24,2026-02-18 22:55:33
D000105,iOS,Safari,10.194.245.0/24,2026-01-28 21:08:21
D000106,iOS,Safari,10.158.184.0/24,2026-02-24 18:00:23
D000107,iOS,Chrome,10.135.164.0/24,2026-02-05 12:25:40
D000108,Windows,Chrome,10.18.104.0/24,2026-01-31 10:12:48
D000109,iOS,Chrome,10.235.85.0/24,2026-01-30 02:48:19
D000110,Android,Edge,10.246.131.0/24,2026-01-27 14:00:59
D000111,Android,Firefox,10.55.36.0/24,2026-01-06 14:47:08
D000112,Android,Firefox,10.110.93.0/24,2026-02-15 09:14:51
D000113,Windows,Firefox,10.8.55.0/24,2026-02-03 15:05:45
D000114,Android,Chrome,10.240.247.0/24,2026-01-10 20:59:19
D000115,iOS,Safari,10.83.101.0/24,2026-02-07 20:27:03
D000116,Android,Chrome,10.194.39.0/24,2026-01-14 14:38:30
D000117,macOS,Firefox,10.128.40.0/24,2026-02-14 14:37:41
D000118,Windows,Edge,10.255.206.0/24,2026-01-14 05:06:25
D000119,Android,Firefox,10.64.174.0/24,2026-01-16 12:13:33
D000120,iOS,Chrome,10.254.2.0/24,2026-02-28 10:14:02
D000121,iOS,Safari,10.163.184.0/24,2026-02-20 17:43:06
D000122,macOS,Safari,10.52.97.0/24,2026-02-01 04:24:54
D000123,Windows,Chrome,10.77.240.0/24,2026-01-26 22:46:11
D000124,Linux,Chrome,10.252.235.0/24,2026-02-23 11:02:50
D000125,Windows,Firefox,10.68.9.0/24,2026-01-19 22:19:25
D000126,iOS,Safari,10.143.44.0/24,2026-01-30 19:47:31
D000127,iOS,Safari,10.104.173.0/24,2026-02-14 04:49:50
D000128,Android,Firefox,10.84.135.0/24,2026-01-08 12:09:07
D000129,Android,Firefox,10.217.252.0/24,2026-01-27 07:56:09
D000130,Android,Chrome,10.194.252.0/24,2026-02-02 16:26:14
D000131,Android,Edge,10.80.28.0/24,2026-01-11 10:38:02
D000132,iOS,Chrome,10.70.175.0/24,2026-01-04 19:57:52
D000133,Android,Edge,10.148.206.0/24,2026-01-02 06:45:37
D000134,Windows,Chrome,10.39.132.0/24,2026-02-05 18:53:53
D000135,Android,Edge,10.113.97.0/24,2026-01-05 05:39:53
D000136,Windows,Edge,10.228.32.0/24,2026-01-01 15:35:58
D000137,Android,Firefox,10.231.86.0/24,2026-02-02 10:04:59
D000138,Android,Edge,10.51.206.0/24,2026-02-08 22:32:26
D000139,iOS,Safari,10.153.245.0/24,2026-02-26 05:39:30
D000140,iOS,Chrome,10.76.235.0/24,2026-01-29 03:45:42
D000141,Android,Edge,10.57.187.0/24,2026-01-03 17:05:02
D000142,Android,Firefox,10.182.91.0/24,2026-01-02 02:06:28
D000143,Android,Firefox,10.164.63.0/24,2026-02-06 00:19:56
D000144,Windows,Edge,10.207.56.0/24,2026-02-11 23:46:32
D000145,Android,Edge,10.121.158.0/24,2026-02-05 14:25:22
D000146,Android,Chrome,10.10.221.0/24,2026-01-14 04:36:14
D000147,Android,Chrome,10.105.21.0/24,2026-01-11 10:09:37
D000148,Windows,Edge,10.236.111.0/24,2026-01-12 21:06:33
D000149,macOS,Chrome,10.4.77.0/24,2026-02-24 13:44:49
D000150,macOS,Chrome,10.3.223.0/24,2026-02-15 00:26:07
D000151,macOS,Safari,10.231.59.0/24,2026-02-27 06:31:33
D000152,iOS,Chrome,10.20.17.0/24,2026-02-20 03:18:06
D000153,iOS,Chrome,10.157.123.0/24,2026-01-25 14:49:52
D000154,iOS,Chrome,10.39.169.0/24,2026-02-13 15:30:52
D000155,Android,Edge,10.186.46.0/24,2026-02-20 02:09:13
D000156,Android,Edge,10.130.139.0/24,2026-01-19 10:05:43
D000157,macOS,Safari,10.187.5.0/24,2026-01-22 18:29:16
D000158,Android,Firefox,10.56.186.0/24,2026-01-28 08:54:50
D000159,macOS,Chrome,10.187.25.0/24,2026-01-13 16:47:06
D000160,Windows,Edge,10.96.51.0/24,2026-02-20 06:02:19
D000161,Android,Firefox,10.158.122.0/24,2026-02-24 16:09:56
D000162,Android,Chrome,10.177.164.0/24,2026-02-28 06:02:05
D000163,Android,Firefox,10.22.171.0/24,2026-02-09 18:39:38
D000164,Android,Chrome,10.18.106.0/24,2026-01-29 01:01:58
D000165,Windows,Chrome,10.72.130.0/24,2026-01-20 18:25:35
D000166,Windows,Firefox,10.133.81.0/24,2026-02-19 17:18:31
D000167,Android,Edge,10.243.64.0/24,2026-02-08 09:31:31
D000168,Android,Firefox,10.226.176.0/24,2026-01-29 20:47:58
D000169,Android,Chrome,10.39.47.0/24,2026-02-10 13:32:53
D000170,Android,Firefox,10.73.116.0/24,2026-01-09 05:56:21
D000171,Android,Edge,10.106.138.0/24,2026-01-31 18:58:37
D000172,Android,Firefox,10.8.175.0/24,2026-02-06 05:58:15
D000173,Android,Chrome,10.166.194.0/24,2026-01-07 09:52:20
D000174,Android,Firefox,10.63.85.0/24,2026-01-27 22:28:16
D000175,Android,Edge,10.207.1.0/24,2026-01-23 07:01:05
D000176,iOS,Safari,10.151.37.0/24,2026-01-02 06:54:47
D000177,iOS,Chrome,10.88.218.0/24,2026-01-25 20:31:57
D000178,Android,Chrome,10.200.213.0/24,2026-02-25 14:26:40
D000179,Android,Edge,10.153.63.0/24,2026-02-15 01:36:12
D000180,Android,Edge,10.201.128.0/24,2026-02-07 07:24:53
D000181,macOS,Firefox,10.251.188.0/24,2026-01-03 11:57:43
D000182,Android,Edge,10.140.137.0/24,2026-01-09 15:47:18
D000183,Android,Chrome,10.252.48.0/24,2026-01-01 22:58:56
D000184,Android,Chrome,10.215.131.0/24,2026-01-20 02:38:39
D000185,Android,Chrome,10.250.74.0/24,2026-01-29 00:25:32
D000186,Android,Chrome,10.13.185.0/24,2026-02-25 18:42:36
D000187,Android,Edge,10.129.11.0/24,2026-01-06 08:26:01
D000188,Android,Chrome,10.238.186.0/24,2026-01-30 15:25:00
D000189,macOS,Firefox,10.66.225.0/24,2026-01-30 18:26:10
D000190,Windows,Chrome,10.114.32.0/24,2026-01-17 11:45:15
D000191,Windows,Firefox,10.99.84.0/24,2026-02-01 07:30:15
D000192,macOS,Safari,10.47.180.0/24,2026-01-18 18:47:00
D000193,Android,Firefox,10.100.144.0/24,2026-01-12 19:27:35
D000194,iOS,Safari,10.46.129.0/24,2026-02-09 19:32:06
D000195,Android,Firefox,10.90.102.0/24,2026-01-21 13:59:12
D000196,iOS,Safari,10.119.167.0/24,2026-01-22 07:35:57
D000197,Windows,Chrome,10.146.68.0/24,2026-01-13 14:47:04
D000198,macOS,Chrome,10.87.189.0/24,2026-01-03 07:11:41
D000199,iOS,Chrome,10.31.243.0/24,2026-01-15 01:40:06
D000200,Windows,Edge,10.33.75.0/24,2026-02-17 14:37:59
D000201,macOS,Safari,10.155.38.0/24,2026-02-11 21:52:07
D000202,iOS,Chrome,10.254.125.0/24,2026-01-21 03:37:05
D000203,Android,Chrome,10.132.211.0/24,2026-02-01 11:04:54
D000204,Android,Firefox,10.156.89.0/24,2026-01-01 20:00:02
D000205,macOS,Chrome,10.67.66.0/24,2026-01-03 08:01:02
D000206,Android,Edge,10.61.85.0/24,2026-01-17 03:51:04
D000207,Android,Firefox,10.71.69.0/24,2026-01-12 09:12:19
D000208,Android,Firefox,10.98.250.0/24,2026-01-21 00:02:06
D000209,Android,Chrome,10.22.154.0/24,2026-01-02 11:41:24
D000210,Android,Chrome,10.193.153.0/24,2026-02-28 10:59:12
D000211,macOS,Safari,10.129.204.0/24,2026-02-01 09:03:45
D000212,Android,Chrome,10.198.17.0/24,2026-02-15 02:53:44
D000213,Windows,Edge,10.229.43.0/24,2026-01-26 15:02:19
D000214,Windows,Firefox,10.206.195.0/24,2026-01-19 04:46:44
D000215,macOS,Chrome,10.24.237.0/24,2026-02-28 15:53:07
D000216,Windows,Chrome,10.23.70.0/24,2026-02-08 17:13:16
D000217,Android,Edge,10.197.189.0/24,2026-02-17 03:41:59
D000218,iOS,Chrome,10.219.89.0/24,2026-01-06 18:36:09
D000219,Android,Edge,10.106.218.0/24,2026-01-03 12:07:13
D000220,Android,Firefox,10.67.248.0/24,2026-01-24 04:06:46
D000221,Android,Chrome,10.225.47.0/24,2026-01-16 22:48:10
D000222,macOS,Firefox,10.109.193.0/24,2026-01-20 08:10:32
D000223,iOS,Safari,10.106.119.0/24,2026-01-16 04:26:21
D000224,iOS,Safari,10.38.196.0/24,2026-01-21 18:19:58
D000225,iOS,Chrome,10.105.123.0/24,2026-02-18 14:39:36
D000226,Android,Edge,10.248.1.0/24,2026-02-16 07:09:59
D000227,macOS,Chrome,10.214.42.0/24,2026-01-09 09:13:09
D000228,iOS,Chrome,10.43.58.0/24,2026-02-18 06:36:36
D000229,iOS,Safari,10.67.42.0/24,2026-02-24 20:18:44
D000230,Android,Firefox,10.144.98.0/24,2026-02-12 12:59:37
D000231,Android,Firefox,10.153.46.0/24,2026-02-18 03:18:58
D000232,Android,Firefox,10.131.75.0/24,2026-01-16 06:07:01
D000233,iOS,Safari,10.30.102.0/24,2026-02-25 06:51:54
D000234,macOS,Safari,10.47.66.0/24,2026-01-20 01:44:40
D000235,iOS,Safari,10.183.125.0/24,2026-01-27 02:48:03
D000236,Android,Edge,10.26.184.0/24,2026-02-28 23:40:04
D000237,Android,Chrome,10.223.65.0/24,2026-01-29 11:02:40
D000238,macOS,Firefox,10.22.229.0/24,2026-01-07 17:27:04
D000239,macOS,Chrome,10.242.88.0/24,2026-01-19 13:38:23
D000240,Android,Edge,10.115.188.0/24,2026-01-25 13:17:06
D000241,Android,Firefox,10.229.219.0/24,2026-01-15 22:41:01
D000242,iOS,Chrome,10.17.151.0/24,2026-01-03 06:52:18
D000243,iOS,Safari,10.86.150.0/24,2026-02-08 16:07:50
D000244,Android,Edge,10.243.227.0/24,2026-02-14 03:53:48
D000245,Windows,Edge,10.34.217.0/24,2026-01-19 21:20:52
D000246,Android,Edge,10.137.119.0/24,2026-01-18 12:21:57
D000247,Android,Firefox,10.94.139.0/24,2026-01-16 00:26:30
D000248,Android,Chrome,10.50.178.0/24,2026-01-16 10:50:43
D000249,iOS,Safari,10.99.62.0/24,2026-01-21 09:03:46
D000250,iOS,Chrome,10.197.4.0/24,2026-01-23 08:28:37
D000251,iOS,Safari,10.247.76.0/24,2026-01-31 19:07:26
D000252,macOS,Firefox,10.203.90.0/24,2026-01-04 11:08:44
D000253,Android,Edge,10.178.137.0/24,2026-02-28 05:11:03
D000254,Android,Chrome,10.23.113.0/24,2026-02-03 03:48:18
D000255,Android,Edge,10.192.7.0/24,2026-01-30 22:52:14
D000256,iOS,Chrome,10.222.153.0/24,2026-02-07 02:35:26
D000257,iOS,Safari,10.193.151.0/24,2026-02-19 16:54:59
D000258,Windows,Chrome,10.9.25.0/24,2026-02-02 19:33:56
D000259,Android,Chrome,10.220.192.0/24,2026-02-08 06:07:52
D000260,Android,Chrome,10.48.229.0/24,2026-01-21 00:03:27
D000261,iOS,Safari,10.52.177.0/24,2026-01-06 12:30:48
D000262,macOS,Firefox,10.195.21.0/24,2026-01-12 18:54:34
D000263,Android,Chrome,10.248.42.0/24,2026-02-11 18:47:21
D000264,iOS,Safari,10.78.155.0/24,2026-01-18 15:33:40
D000265,Android,Chrome,10.186.157.0/24,2026-01-03 13:08:10
D000266,Android,Edge,10.186.252.0/24,2026-02-25 23:36:19
D000267,Windows,Chrome,10.120.61.0/24,2026-01-29 16:14:24
D000268,Android,Chrome,10.83.201.0/24,2026-01-31 18:44:50
D000269,Android,Chrome,10.153.162.0/24,2026-02-22 23:44:17
D000270,Linux,Firefox,10.20.100.0/24,2026-01-23 16:42:42
D000271,Android,Edge,10.90.37.0/24,2026-01-17 23:03:42
D000272,Android,Chrome,10.195.211.0/24,2026-01-30 06:44:41
D000273,macOS,Firefox,10.8.243.0/24,2026-01-04 22:50:27
D000274,Android,Edge,10.20.75.0/24,2026-01-16 12:01:30
D000275,Linux,Chrome,10.53.31.0/24,2026-01-12 16:32:05
D000276,iOS,Safari,10.127.213.0/24,2026-02-04 05:54:02
D000277,Android,Chrome,10.211.78.0/24,2026-01-09 04:13:48
D000278,Android,Chrome,10.176.53.0/24,2026-02-21 05:25:22
D000279,Android,Firefox,10.145.167.0/24,2026-01-05 01:54:07
D000280,Android,Edge,10.17.132.0/24,2026-02-12 22:40:46
D000281,Android,Chrome,10.185.0.0/24,2026-01-04 22:01:11
D000282,Windows,Firefox,10.213.19.0/24,2026-01-06 05:55:23
D000283,Android,Edge,10.14.139.0/24,2026-02-20 08:44:26
D000284,Android,Firefox,10.140.196.0/24,2026-01-26 03:33:42
D000285,Windows,Firefox,10.125.7.0/24,2026-01-30 12:56:09
D000286,Linux,Chrome,10.38.146.0/24,2026-02-19 00:16:37
D000287,Android,Chrome,10.122.25.0/24,2026-02-22 07:03:01
D000288,iOS,Chrome,10.175.195.0/24,2026-01-16 12:51:26
D000289,Android,Chrome,10.93.89.0/24,2026-01-31 18:21:49
D000290,Android,Firefox,10.83.178.0/24,2026-01-19 00:33:38
D000291,Android,Edge,10.93.10.0/24,2026-01-09 20:19:01
D000292,Windows,Chrome,10.154.147.0/24,2026-01-08 21:26:29
D000293,iOS,Chrome,10.217.25.0/24,2026-01-15 00:21:02
D000294,Android,Firefox,10.2.29.0/24,2026-01-03 18:54:23
D000295,Windows,Chrome,10.252.69.0/24,2026-01-03 15:33:01
D000296,Windows,Chrome,10.18.217.0/24,2026-02-04 22:27:36
D000297,Windows,Firefox,10.91.143.0/24,2026-01-01 15:29:00
D000298,iOS,Safari,10.253.248.0/24,2026-01-16 04:47:10
D000299,Android,Firefox,10.31.100.0/24,2026-02-02 18:14:31
D000300,iOS,Safari,10.202.177.0/24,2026-02-14 10:21:07
D000301,macOS,Chrome,10.206.52.0/24,2026-01-15 14:07:48
D000302,iOS,Chrome,10.76.223.0/24,2026-01-20 10:58:34
D000303,macOS,Chrome,10.174.232.0/24,2026-02-27 12:01:13
D000304,Android,Chrome,10.137.235.0/24,2026-01-29 17:45:20
D000305,Android,Firefox,10.60.250.0/24,2026-02-01 03:07:59
D000306,Android,Edge,10.238.195.0/24,2026-01-08 07:21:45
D000307,Android,Edge,10.195.214.0/24,2026-01-06 17:15:33
D000308,macOS,Firefox,10.185.27.0/24,2026-01-05 01:10:01
D000309,iOS,Chrome,10.161.67.0/24,2026-02-14 16:24:25
D000310,Windows,Firefox,10.183.225.0/24,2026-02-04 14:01:32
D000311,Android,Edge,10.178.48.0/24,2026-02-26 11:04:19
D000312,iOS,Safari,10.170.105.0/24,2026-01-26 18:58:24
D000313,Windows,Edge,10.255.127.0/24,2026-01-10 11:06:40
D000314,Android,Edge,10.138.86.0/24,2026-01-29 09:37:39
D000315,iOS,Safari,10.12.123.0/24,2026-01-24 20:27:20
D000316,iOS,Chrome,10.149.88.0/24,2026-02-08 18:47:06
D000317,iOS,Safari,10.164.73.0/24,2026-02-16 14:59:04
D000318,iOS,Chrome,10.137.6.0/24,2026-02-05 18:22:27
D000319,Android,Chrome,10.69.216.0/24,2026-02-01 02:47:53
D000320,Windows,Edge,10.173.84.0/24,2026-01-06 08:01:04
D000321,iOS,Safari,10.56.3.0/24,2026-02-13 07:22:03
D000322,Windows,Edge,10.151.245.0/24,2026-02-04 21:22:10
D000323,Android,Edge,10.114.214.0/24,2026-02-20 23:34:39
D000324,iOS,Safari,10.133.67.0/24,2026-01-22 17:25:01
D000325,Android,Edge,10.36.96.0/24,2026-01-12 09:19:25
D000326,Android,Edge,10.241.97.0/24,2026-01-30 19:17:50
D000327,Android,Edge,10.27.57.0/24,2026-01-20 23:02:26
D000328,Windows,Firefox,10.98.214.0/24,2026-02-15 13:52:06
D000329,Windows,Edge,10.28.236.0/24,2026-02-05 21:51:44
D000330,macOS,Safari,10.102.49.0/24,2026-01-04 00:08:12
D000331,macOS,Firefox,10.226.166.0/24,2026-01-31 19:21:08
D000332,iOS,Chrome,10.54.191.0/24,2026-02-18 08:20:32
D000333,iOS,Safari,10.8.160.0/24,2026-02-10 07:08:57
D000334,macOS,Chrome,10.212.183.0/24,2026-01-17 08:30:45
D000335,Android,Firefox,10.240.168.0/24,2026-02-25 06:52:51
D000336,iOS,Chrome,10.164.225.0/24,2026-01-28 07:02:30
D000337,Android,Edge,10.30.65.0/24,2026-01-06 17:00:07
D000338,Android,Chrome,10.214.92.0/24,2026-01-09 14:29:54
D000339,Android,Edge,10.140.254.0/24,2026-01-13 16:37:33
D000340,Android,Firefox,10.144.206.0/24,2026-01-22 17:13:12
D000341,iOS,Safari,10.233.111.0/24,2026-01-09 21:48:22
D000342,macOS,Safari,10.231.242.0/24,2026-02-18 21:59:17
D000343,iOS,Chrome,10.158.157.0/24,2026-02-07 17:07:31
D000344,iOS,Chrome,10.4.9.0/24,2026-02-26 12:39:33
D000345,iOS,Safari,10.200.36.0/24,2026-01-23 06:13:52
D000346,Android,Edge,10.130.80.0/24,2026-01-30 22:10:52
D000347,Android,Firefox,10.86.212.0/24,2026-01-15 17:45:13
D000348,iOS,Chrome,10.96.11.0/24,2026-02-27 05:25:25
D000349,Android,Firefox,10.81.240.0/24,2026-01-18 08:14:53
D000350,iOS,Safari,10.127.27.0/24,2026-02-07 23:32:12
D000351,macOS,Safari,10.73.140.0/24,2026-02-10 20:57:53
D000352,Android,Chrome,10.67.65.0/24,2026-01-28 08:37:38
D000353,Android,Edge,10.158.157.0/24,2026-02-10 00:29:16
D000354,Windows,Chrome,10.132.173.0/24,2026-02-05 15:11:08
D000355,Android,Firefox,10.10.185.0/24,2026-01-06 21:31:54
D000356,iOS,Safari,10.254.96.0/24,2026-01-01 22:22:38
D000357,iOS,Chrome,10.192.121.0/24,2026-02-18 18:42:48
D000358,iOS,Safari,10.158.66.0/24,2026-02-11 02:33:45
D000359,Windows,Firefox,10.31.35.0/24,2026-02-24 15:28:27
D000360,Android,Chrome,10.214.90.0/24,2026-01-05 12:39:52
D000361,Android,Firefox,10.0.154.0/24,2026-01-27 06:29:01
D000362,Android,Chrome,10.42.51.0/24,2026-01-27 14:44:37
D000363,Android,Edge,10.196.163.0/24,2026-02-22 16:40:21
D000364,iOS,Chrome,10.31.209.0/24,2026-01-18 10:16:24
D000365,macOS,Chrome,10.22.94.0/24,2026-01-25 00:06:28
D000366,macOS,Chrome,10.243.111.0/24,2026-01-25 06:15:49
D000367,iOS,Chrome,10.116.180.0/24,2026-02-14 10:54:01
D000368,Android,Chrome,10.36.118.0/24,2026-02-06 05:42:20
D000369,Android,Edge,10.170.13.0/24,2026-01-21 17:19:54
D000370,macOS,Firefox,10.209.135.0/24,2026-01-30 01:51:30
D000371,Windows,Chrome,10.69.34.0/24,2026-01-30 03:52:19
D000372,Android,Firefox,10.220.142.0/24,2026-02-18 13:27:50
D000373,macOS,Chrome,10.224.232.0/24,2026-02-26 14:47:18
D000374,Android,Firefox,10.238.230.0/24,2026-02-03 16:50:16
D000375,Android,Edge,10.143.88.0/24,2026-01-21 05:07:30
D000376,Android,Edge,10.61.254.0/24,2026-02-04 17:42:14
D000377,macOS,Chrome,10.139.161.0/24,2026-02-11 05:43:06
D000378,Android,Firefox,10.61.118.0/24,2026-02-06 07:03:31
D000379,Windows,Chrome,10.96.50.0/24,2026-02-12 01:51:15
D000380,Windows,Firefox,10.253.147.0/24,2026-01-17 22:08:23
D000381,Android,Edge,10.212.225.0/24,2026-01-21 00:30:25
D000382,Windows,Firefox,10.1.170.0/24,2026-01-11 00:33:58
D000383,Linux,Firefox,10.45.107.0/24,2026-01-14 19:27:51
D000384,Windows,Firefox,10.17.115.0/24,2026-02-23 18:02:59
D000385,Android,Edge,10.104.144.0/24,2026-02-01 16:52:10
D000386,Android,Chrome,10.80.215.0/24,2026-02-10 16:32:52
D000387,Android,Firefox,10.144.62.0/24,2026-01-11 19:24:09
D000388,Windows,Edge,10.100.229.0/24,2026-02-05 20:03:23
D000389,iOS,Safari,10.99.119.0/24,2026-01-18 19:20:11
D000390,Android,Firefox,10.73.102.0/24,2026-01-30 08:56:18
D000391,iOS,Safari,10.57.128.0/24,2026-01-08 04:06:50
D000392,Windows,Edge,10.177.190.0/24,2026-01-04 21:23:06
D000393,Windows,Edge,10.149.218.0/24,2026-01-17 02:39:30
D000394,iOS,Safari,10.170.73.0/24,2026-02-16 05:39:31
D000395,Android,Edge,10.190.171.0/24,2026-01-11 01:49:59
